"from_npi","to_npi","patient_count","transaction_count","average_day_wait","std_day_wait","hospital_type","pcp_class","pcp_special","to_organization","full_name","credential_text","middle_name","name_prefix_text","name_suffix_text"
"1053408567","1982650024","76","134","15.582","33.267","General Acute Care Hospital","Internal Medicine",NULL,"HCA HEALTH SERVICES OF TENNESSEE, INC.","JEAN LESSLY","M.D.","RAINES","DR.",NULL
"1619004066","1396882205","526","540","5.504","16.192","General Acute Care Hospital","Internal Medicine","Cardiovascular Disease","VANDERBILT UNIVERSITY MEDICAL CENTER","QUINN WELLS","MD","S.",NULL,NULL
"1619004066","1992776405","47","75","5.2","36.637","General Acute Care Hospital","Internal Medicine","Cardiovascular Disease","HCA HEALTH SERVICES OF TENNESSEE, INC.","QUINN WELLS","MD","S.",NULL,NULL
"1386664456","1992776405","233","818","2.641","13.4","General Acute Care Hospital","Internal Medicine",NULL,"HCA HEALTH SERVICES OF TENNESSEE, INC.","SARA OWEN","MD","ELIZABETH","DR.",NULL
"1386664456","1023055126","201","621","2.541","14.128","General Acute Care Hospital","Internal Medicine",NULL,"HCA HEALTH SERVICES OF TENNESSEE, INC.","SARA OWEN","MD","ELIZABETH","DR.",NULL
"1417951302","1396882205","86","163","28.718","34.781","General Acute Care Hospital","Family Medicine",NULL,"VANDERBILT UNIVERSITY MEDICAL CENTER","KENNETH DODGE","M.D.","BRENTON","DR.",NULL
"1417951302","1265445506","356","1129","3.958","15.712","General Acute Care Hospital","Family Medicine",NULL,"WILLIAMSON COUNTY HOSPITAL DISTRICT","KENNETH DODGE","M.D.","BRENTON","DR.",NULL
"1871539502","1265445506","51","68","45.25","50.843","General Acute Care Hospital","Family Medicine",NULL,"WILLIAMSON COUNTY HOSPITAL DISTRICT","RAYMOND BREWER","M.D.","MICHAEL","DR.",NULL
"1871539502","1861479545","43","55","49.109","65.369","General Acute Care Hospital","Family Medicine",NULL,"MAURY REGIONAL HOSPITAL","RAYMOND BREWER","M.D.","MICHAEL","DR.",NULL
"1871539502","1023055126","231","462","6.721","24.059","General Acute Care Hospital","Family Medicine",NULL,"HCA HEALTH SERVICES OF TENNESSEE, INC.","RAYMOND BREWER","M.D.","MICHAEL","DR.",NULL
"1811104003","1396882205","74","116","33.888","50.259","General Acute Care Hospital","Internal Medicine","Nephrology","VANDERBILT UNIVERSITY MEDICAL CENTER","SHILPA CARLSON","DO","REDDY",NULL,NULL
"1811104003","1215937982","47","72","4.681","16.044","Long Term Care Hospital","Internal Medicine","Nephrology","SELECT SPECIALTY HOSPITAL - NASHVILLE LLC","SHILPA CARLSON","DO","REDDY",NULL,NULL
"1811104003","1629025648","107","194","7.371","31.202","General Acute Care Hospital","Internal Medicine","Nephrology","SAINT THOMAS WEST HOSPITAL","SHILPA CARLSON","DO","REDDY",NULL,NULL
"1811104003","1538114434","103","140","14.914","40.182","General Acute Care Hospital","Internal Medicine","Nephrology","HENDERSONVILLE HOSPITAL CORPORATION","SHILPA CARLSON","DO","REDDY",NULL,NULL
