"","to_npi","from_npi","patient_count","transaction_count","average_day_wait","std_day_wait","hospital_type","pcp_class","pcp_special","to_organization","full_name","credential_text","middle_name","name_prefix_text","name_suffix_text","pcp_communityid","hospital_communityid"
"1",1023055126,1679568364,358,1640,0.82,9,"General Acute Care Hospital","Internal Medicine","Infectious Disease","HCA HEALTH SERVICES OF TENNESSEE, INC.","JULI HORTON","MD","G","MRS.","NULL",1386,1386
"2",1023055126,1720181738,123,198,15.232,30.948,"General Acute Care Hospital","Internal Medicine","NULL","HCA HEALTH SERVICES OF TENNESSEE, INC.","HAROLD LICKEY","M.D.","MARK","NULL","NULL",1386,1386
"3",1023055126,1649480237,135,184,41.429,56.244,"General Acute Care Hospital","Internal Medicine","Nephrology","HCA HEALTH SERVICES OF TENNESSEE, INC.","LING YU","MD","NULL","NULL","NULL",1399,1386
"4",1023055126,1639112048,216,320,0.113,0.751,"General Acute Care Hospital","Internal Medicine","NULL","HCA HEALTH SERVICES OF TENNESSEE, INC.","PHILIP KUO","MD","S","NULL","NULL",1386,1386
"5",1023055126,1265427553,145,380,1.011,10.523,"General Acute Care Hospital","Family Medicine","NULL","HCA HEALTH SERVICES OF TENNESSEE, INC.","BRYAN KOZINSKI","MD","J","MR.","NULL",1386,1386
"6",1023055126,1891782454,277,573,3.033,22.845,"General Acute Care Hospital","Internal Medicine","NULL","HCA HEALTH SERVICES OF TENNESSEE, INC.","SANFORD KIM","MD","J","NULL","NULL",1386,1386
"7",1023055126,1053406405,757,1777,5.258,22.562,"General Acute Care Hospital","Internal Medicine","Advanced Heart Failure and Transplant Cardiology","HCA HEALTH SERVICES OF TENNESSEE, INC.","ANDREW MCRAE","MD","THOMAS","NULL","NULL",1386,1386
"8",1023055126,1093718272,103,113,47.071,69.067,"General Acute Care Hospital","Internal Medicine","Cardiovascular Disease","HCA HEALTH SERVICES OF TENNESSEE, INC.","DAVID BLAZER","MD","J","DR.","NULL",1399,1386
"9",1023055126,1932102670,36,56,26.554,33.015,"General Acute Care Hospital","Internal Medicine","NULL","HCA HEALTH SERVICES OF TENNESSEE, INC.","KERRY ROSS","MD","W","DR.","NULL",1399,1386
"10",1023055126,1811905409,323,381,6.756,24.368,"General Acute Care Hospital","Internal Medicine","Cardiovascular Disease","HCA HEALTH SERVICES OF TENNESSEE, INC.","FATHI ALI","M.D.","IDRIS","NULL","NULL",1386,1386
"11",1023055126,1396004099,31,53,0,0,"General Acute Care Hospital","Internal Medicine","NULL","HCA HEALTH SERVICES OF TENNESSEE, INC.","OLABISI AKANBI","M.D","OLAITAN","NULL","NULL",1386,1386
"12",1023055126,1174576599,90,153,19.706,43.352,"General Acute Care Hospital","Family Medicine","NULL","HCA HEALTH SERVICES OF TENNESSEE, INC.","JULIA GOMEZ","M.D.","E","DR.","NULL",1386,1386
"13",1023055126,1811200033,144,168,46.262,57.908,"General Acute Care Hospital","Internal Medicine","Cardiovascular Disease","HCA HEALTH SERVICES OF TENNESSEE, INC.","BRYAN DOHERTY","MD","NULL","DR.","NULL",1399,1386
"14",1023055126,1982703328,47,63,28.968,34.676,"General Acute Care Hospital","Internal Medicine","Medical Oncology","HCA HEALTH SERVICES OF TENNESSEE, INC.","JULIE MEANS","MD","NULL","NULL","NULL",1387,1386
"15",1023055126,1285695171,45,57,36.982,50.096,"General Acute Care Hospital","Family Medicine","NULL","HCA HEALTH SERVICES OF TENNESSEE, INC.","SCOTT BROWN","M.D.","DUFF","NULL","NULL",1386,1386
"16",1023055126,1174565543,113,178,31.208,52.713,"General Acute Care Hospital","Internal Medicine","Hematology & Oncology","HCA HEALTH SERVICES OF TENNESSEE, INC.","HABIB DOSS","MD","NULL","NULL","NULL",1393,1386
"17",1023055126,1700959871,110,147,39.442,46.465,"General Acute Care Hospital","Internal Medicine","NULL","HCA HEALTH SERVICES OF TENNESSEE, INC.","ROBERT QUINN","MD","SEAN","NULL","NULL",1386,1386
"18",1023055126,1588899082,207,356,3.045,18.704,"General Acute Care Hospital","Internal Medicine","NULL","HCA HEALTH SERVICES OF TENNESSEE, INC.","NADER BAHRI","M.D.","SATTARI","NULL","NULL",1386,1386
"19",1023055126,1487672291,53,73,38.671,46.064,"General Acute Care Hospital","Internal Medicine","Medical Oncology","HCA HEALTH SERVICES OF TENNESSEE, INC.","PATRICK MURPHY","M.D.","B","NULL","NULL",1387,1386
"20",1023055126,1013902782,47,59,28.153,33.49,"General Acute Care Hospital","Family Medicine","NULL","HCA HEALTH SERVICES OF TENNESSEE, INC.","ROBERT BISHOP","MD","G","MR.","NULL",1386,1386
"21",1023055126,1073516001,45,70,30.371,42.083,"General Acute Care Hospital","Internal Medicine","NULL","HCA HEALTH SERVICES OF TENNESSEE, INC.","DAVID ROSS","MD","L","DR.","NULL",1399,1386
"22",1023055126,1578766697,65,69,31.449,54.146,"General Acute Care Hospital","Family Medicine","NULL","HCA HEALTH SERVICES OF TENNESSEE, INC.","CHRIS MEHR","MD","NULL","DR.","NULL",1386,1386
"23",1023055126,1093738536,60,95,33.663,57.712,"General Acute Care Hospital","Internal Medicine","Cardiovascular Disease","HCA HEALTH SERVICES OF TENNESSEE, INC.","PAUL JACKSON","M.D.","A","DR.","NULL",1395,1386
"24",1023055126,1952590705,63,87,35.563,45.575,"General Acute Care Hospital","Internal Medicine","Hematology & Oncology","HCA HEALTH SERVICES OF TENNESSEE, INC.","OLAIDE AJAYI","M.D.","IFELOLA","NULL","NULL",1384,1386
"25",1023055126,1992985949,277,767,2.996,19.23,"General Acute Care Hospital","Internal Medicine","NULL","HCA HEALTH SERVICES OF TENNESSEE, INC.","ROBERT BECK","M.D","L","MR.","JR.",1386,1386
"26",1023055126,1578677274,524,1998,2.191,12.937,"General Acute Care Hospital","Internal Medicine","Nephrology","HCA HEALTH SERVICES OF TENNESSEE, INC.","RANJAN CHANDA","M.D.","NULL","NULL","NULL",1386,1386
"27",1023055126,1013179860,197,209,45.148,65.251,"General Acute Care Hospital","Internal Medicine","Interventional Cardiology","HCA HEALTH SERVICES OF TENNESSEE, INC.","GARY YAWN","M.D.","WAYNE","DR.","JR.",1391,1386
"28",1023055126,1881638971,104,170,33.971,60.876,"General Acute Care Hospital","Internal Medicine","NULL","HCA HEALTH SERVICES OF TENNESSEE, INC.","RICHARD GARMAN","M.D.","W","NULL","JR.",1393,1386
"29",1023055126,1982661617,48,67,46.746,59.551,"General Acute Care Hospital","Internal Medicine","Nephrology","HCA HEALTH SERVICES OF TENNESSEE, INC.","CHRISTIE GREEN","MD","A","NULL","NULL",1395,1386
